advertiser_id,advertiser_name,gam_advertiser_id,gam_advertiser_name,gam_company_type,gam_credit_status,gam,webinar,email,source_system,utm_source,utm_medium,utm_campaign,landing_page_contains,notes
6072497511,3Dnatives,6072497511,SMES - advancedmanufacturing.org - YUP - 3Dnatives,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
enewsletter_43north,43North,,,,,false,false,true,HubSpot eNewsletter CSV,,,,,Added from eNewsletter placement export.
5748493096,ABM,5748493096,SMES - advancedmanufacturing.org - YUP - ABM,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
6067746899,Advanced Manufacturing Live,6067746899,SMES - advancedmanufacturing.org - YUP - Advanced Manufacturing Live,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
5721756441,Advertiser Name,5721756441,SMES - advancedmanufacturing.org - YUP - Advertiser Name,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
5774355302,AeroDef,5774355302,SMES - advancedmanufacturing.org - YUP - AeroDef,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
webinar_ampower,AMPower,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
6046818878,AMT,6046818878,SMES - advancedmanufacturing.org - YUP - AMT,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
webinar_boast,Boast,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
5653985432,C-Flex Bearing,5653985432,SMES - advancedmanufacturing.org - YUP - C-Flex Bearing,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
webinar_caddi,CADDi,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
webinar_cadonix,Cadonix,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
5632914451,Castrol,5632914451,SMES - advancedmanufacturing.org - YUP - Castrol,ADVERTISER,ACTIVE,true,true,true,GAM,,,,,
6009890783,Ceratizit,6009890783,SMES - advancedmanufacturing.org - YUP - Ceratizit,ADVERTISER,ACTIVE,true,true,false,GAM,,,,,
5939206747,CES,5939206747,SMES - advancedmanufacturing.org - YUP - CES,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
enewsletter_citgo_petroleum,CITGO Petroleum Corporation,,,,,false,false,true,HubSpot eNewsletter CSV,,,,,Added from eNewsletter placement export.
webinar_civan_lasers,Civan Lasers,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
5760218637,CPM Industrial Solutions,5760218637,SMES - advancedmanufacturing.org - YUP - CPM Industrial Solutions,ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
webinar_cymanii,CyManII,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
webinar_deltek,Deltek,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
5652049604,"Demark (Wuhan) Technology Co.,Ltd",5652049604,"SMES - advancedmanufacturing.org - YUP - Demark (Wuhan) Technology Co.,Ltd",ADVERTISER,ACTIVE,true,false,false,GAM,,,,,
enewsletter_designfusion,Designfusion,,,,,false,false,true,HubSpot eNewsletter CSV,,,,,Added from eNewsletter placement export.
webinar_discus,DISCUS,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
webinar_discus_software,Discus Software,,,,,false,true,false,Webinar scrape,,,,,Added from Advanced Manufacturing webinar sponsor listing.
