,Date, Delivered , Opened ,Advertiser,Ad Type,Clicks
January,1/6/2026," 38,326 "," 14,991 ",MET,Leaderboard,43
,1/9/2026," 38,287 "," 14,303 ",MET,Leaderboard,31
,1/13/2026," 38,259 "," 14,131 ",MET,Leaderboard,5
,,,,IMCO Carbide,Text-With-Image,4
,1/16/2026," 38,258 "," 15,138 ",MET,Leaderboard,9
,,,,Scientific Cutting Tools,Text-With-Image,5
,1/20/2026," 38,131 "," 14,609 ",MET,Leaderboard,11
,,,,Real Time Automation,Text-With-Image,27
,1/23/2026," 38,093 "," 15,389 ",FABTECH Canada,Leaderboard,3
,1/27/2026," 38,030 "," 12,902 ",REMADE Institute,Leaderboard,12
,,,,IMCO Carbide,Text-With-Image,17
,1/30/2026," 37,969 "," 12,344 ",FABTECH Canada,Leaderboard,2
,,,,REMADE Institute,Text-With-Image,9
,,,,,,
February,2/3/2026," 37,933 "," 12,292 ",FABTECH Canada,Leaderboard,2
,,,,CITGO Petroleum Corporation,Text-With-Image,2
,,,,SOLIDWORKS,Text-With-Image,7
,2/10/2026," 38,054 "," 11,981 ",REMADE Institute,Leaderboard,10
,,,,IMCO Carbide,Text-With-Image,3
,2/13/2026," 37,819 "," 11,694 ",FABTECH Canada,Leaderboard,2
,,,,Designfusion,Text-With-Image,6
,2/17/2026," 38,023 "," 12,121 ",FABTECH Canada,Leaderboard,7
,,,,Scientific Cutting Tools,Text-With-Image,6
,2/20/2026," 37,981 "," 11,260 ",SME 30 Under 30,Leaderboard,5
,,,,IMCO Carbide,Text-With-Image,8
,2/24/2026," 60,739 "," 9,601 ",SME 30 Under 30,Leaderboard,75
,2/27/2026," 60,167 "," 5,799 ",SME 30 Under 30,Leaderboard,6
,,,,,,
March,3/3/2026," 60,127 "," 3,342 ",SME 30 Under 30,Leaderboard,7
,,,,CITGO Petroleum Corporation,Text-With-Image,1
,,,,Gartner Digital Markets,Text-With-Image,15
,3/6/2026," 56,309 "," 3,577 ",SME 30 Under 30,Leaderboard,3
,,,,Gartner Digital Markets,Text-With-Image,37
,,,,Phillips,Text-With-Image,3
,3/10/2026," 47,690 "," 5,916 ",Marposs ,Leaderboard,3
,,,,IMCO Carbide,Text-With-Image,7
,,,,Gartner Digital Markets,Text-With-Image,42
,3/13/2026," 9,599 "," 5,093 ",SME 30 Under 30,Leaderboard,2
,,,,Scientific Cutting Tools,Text-With-Image,13
,,,,Gartner Digital Markets,Text-With-Image,24
,3/17/2026," 12,276 "," 5,133 ",SME 30 Under 30,Leaderboard,7
,,,,Gartner Digital Markets,Text-With-Image,30
,3/20/2026," 14,665 "," 4,383 ",SME 30 Under 30,Leaderboard,5
,,,,Gartner Digital Markets,Text-With-Image,30
,,,,Greenleaf,Text-With-Image,8
,3/24/2026," 19,357 "," 2,810 ",Unified Purchasing Group,Leaderboard,1
,,,,CITGO Petroleum Corporation,Text-With-Image,0
,,,,IMCO Carbide,Text-With-Image,3
,,,,Gartner Digital Markets,Text-With-Image,15
,3/27/2026," 19,494 "," 5,542 ",SMU,Leaderboard,13
,,,,Gartner Digital Markets,Text-With-Image,5
,3/31/2026," 24,214 "," 4,238 ",SME 30 Under 30,Leaderboard,10
,,,,Gartner Digital Markets,Text-With-Image,37
,,,,,,
April,4/3/2026," 20,607 "," 5,097 ",Unified Purchasing Group,Leaderboard,0
